,Voltage,Current,Registance,Time,Status
0,-1.0,-4.059576e-08,9.91e+37,5915.709,21508.0
1,-0.9,4.316925e-08,9.91e+37,5915.762,21508.0
2,-0.8,-1.952037e-08,9.91e+37,5915.813,21508.0
3,-0.7,1.621592e-08,9.91e+37,5915.866,21508.0
4,-0.6,8.002016e-08,9.91e+37,5915.921,21508.0
5,-0.5,-1.241291e-07,9.91e+37,5915.974,21508.0
6,-0.4,9.587042e-08,9.91e+37,5916.025,21508.0
7,-0.3,-1.577207e-07,9.91e+37,5916.078,21508.0
8,-0.2,1.772913e-07,9.91e+37,5916.134,21508.0
9,-0.1,-1.113382e-07,9.91e+37,5916.187,21508.0
10,0.0,-1.212283e-07,9.91e+37,5916.247,21508.0
11,0.1,1.755288e-07,9.91e+37,5916.3,21508.0
12,0.2,-1.113939e-07,9.91e+37,5916.353,21508.0
13,0.3,1.508227e-07,9.91e+37,5916.405,21508.0
14,0.4,-9.589372e-08,9.91e+37,5916.458,21508.0
15,0.5,1.18801e-07,9.91e+37,5916.511,21508.0
16,0.6,7.584934e-09,9.91e+37,5916.564,21508.0
17,0.7,-9.762859e-09,9.91e+37,5916.616,21508.0
18,0.8,3.790389e-08,9.91e+37,5916.668,21508.0
19,0.9,-5.523825e-08,9.91e+37,5916.721,21508.0
20,1.0,1.661212e-07,9.91e+37,5916.777,21508.0
