,Voltage,Current,Registance,Time,Status
0,-1.0,-1.378062e-07,9.91e+37,6009.562,21508.0
1,-0.9,1.914279e-07,9.91e+37,6009.614,21508.0
2,-0.8,-1.235802e-07,9.91e+37,6009.666,21508.0
3,-0.7,1.780196e-07,9.91e+37,6009.718,21508.0
4,-0.6,-5.458235e-08,9.91e+37,6009.771,21508.0
5,-0.5,6.135459e-08,9.91e+37,6009.823,21508.0
6,-0.4,-3.232537e-08,9.91e+37,6009.876,21508.0
7,-0.3,3.00733e-08,9.91e+37,6009.929,21508.0
8,-0.2,1.681436e-07,9.91e+37,6009.986,21508.0
9,-0.1,-1.493461e-07,9.91e+37,6010.038,21508.0
10,0.0,-1.768012e-07,9.91e+37,6010.098,21508.0
11,0.1,1.60229e-07,9.91e+37,6010.15,21508.0
12,0.2,-1.519741e-07,9.91e+37,6010.203,21508.0
13,0.3,1.812981e-07,9.91e+37,6010.255,21508.0
14,0.4,-1.354825e-07,9.91e+37,6010.307,21508.0
15,0.5,1.937202e-07,9.91e+37,6010.358,21508.0
16,0.6,-1.209793e-07,9.91e+37,6010.411,21508.0
17,0.7,1.744273e-07,9.91e+37,6010.463,21508.0
18,0.8,-1.094706e-07,9.91e+37,6010.515,21508.0
19,0.9,1.449675e-07,9.91e+37,6010.567,21508.0
20,1.0,1.234831e-07,9.91e+37,6010.624,21508.0
