,Voltage,Current,Registance,Time,Status
0,-1.0,1.388294e-07,9.91e+37,282.9844,21508.0
1,-0.9,-1.406696e-07,9.91e+37,283.0371,21508.0
2,-0.8,1.632625e-07,9.91e+37,283.0889,21508.0
3,-0.7,-1.12147e-07,9.91e+37,283.1416,21508.0
4,-0.6,1.933017e-07,9.91e+37,283.1953,21508.0
5,-0.5,-8.975558e-08,9.91e+37,283.2471,21508.0
6,-0.4,1.83034e-07,9.91e+37,283.2998,21508.0
7,-0.3,-8.81427e-08,9.91e+37,283.3516,21508.0
8,-0.2,-1.78965e-07,9.91e+37,283.4092,21508.0
9,-0.1,7.061633e-08,9.91e+37,283.4609,21508.0
10,0.0,6.100956e-08,9.91e+37,283.5215,21508.0
11,0.1,-1.60264e-07,9.91e+37,283.5742,21508.0
12,0.2,6.478496e-08,9.91e+37,283.627,21508.0
13,0.3,-1.767291e-07,9.91e+37,283.6797,21508.0
14,0.4,6.926389e-08,9.91e+37,283.7314,21508.0
15,0.5,-1.854334e-07,9.91e+37,283.7832,21508.0
16,0.6,1.657165e-07,9.91e+37,283.8379,21508.0
17,0.7,-1.122398e-07,9.91e+37,283.8906,21508.0
18,0.8,1.883614e-07,9.91e+37,283.9434,21508.0
19,0.9,-9.908969e-08,9.91e+37,283.9951,21508.0
20,1.0,-1.519666e-07,9.91e+37,284.0527,21508.0
