,Inpt_current,Voltage,Current,Registance,Time,Status
0,-0.001,-0.3292148,-1.637204e-12,9.91e+37,528.6934,39940.0
1,-0.0009,-0.305378,-4.246686e-12,9.91e+37,528.7744,39940.0
2,-0.0008,-0.2538686,-4.698575e-12,9.91e+37,528.8555,39940.0
3,-0.0007,-0.2203294,-4.999806e-12,9.91e+37,528.9316,39940.0
4,-0.0006,0.5041414,-1.536979e-12,9.91e+37,529.2549,39940.0
5,-0.0005,0.5359917,-1.988562e-12,9.91e+37,529.3291,39940.0
6,-0.0004,0.5530131,-3.59425e-12,9.91e+37,529.4043,39940.0
7,-0.0003,0.5061417,-5.351206e-12,9.91e+37,529.4795,39940.0
8,-0.0002,0.3702518,-1.938227e-12,9.91e+37,529.5557,39940.0
9,-0.0001,0.222454,-8.843343e-13,9.91e+37,529.6309,39940.0
10,0.0,0.1803171,-4.196629e-12,9.91e+37,529.9531,39940.0
11,0.0001,0.2020096,-4.29716e-12,9.91e+37,530.0342,39940.0
12,0.0002,0.03049125,-5.049863e-12,9.91e+37,530.3584,39940.0
13,0.0003,-0.2985771,-6.756429e-12,9.91e+37,530.6875,39940.0
14,0.0004,-0.2810376,-4.899331e-12,9.91e+37,530.7627,39940.0
15,0.0005,-0.2557732,-2.038661e-12,9.91e+37,530.8379,39940.0
16,0.0006,-0.2226016,-5.401096e-12,9.91e+37,530.9141,39940.0
17,0.0007,0.5379938,-2.390033e-12,9.91e+37,531.2383,39940.0
18,0.0008,0.5699247,-4.82947e-13,9.91e+37,531.3135,39940.0
19,0.0009,0.588927,-1.988423e-12,9.91e+37,531.3887,39940.0
20,0.001,0.5681474,-5.802719e-12,9.91e+37,531.4639,39940.0
