,Voltage,Current,Registance,Time,Status
0,-1.0,-1.5915e-07,9.91e+37,8070.154,21508.0
1,-0.9,1.06377e-07,9.91e+37,8070.207,21508.0
2,-0.8,-1.899562e-07,9.91e+37,8070.259,21508.0
3,-0.7,1.178123e-07,9.91e+37,8070.311,21508.0
4,-0.6,-1.483828e-07,9.91e+37,8070.363,21508.0
5,-0.5,1.762817e-07,9.91e+37,8070.415,21508.0
6,-0.4,-1.348691e-07,9.91e+37,8070.468,21508.0
7,-0.3,1.909135e-07,9.91e+37,8070.52,21508.0
8,-0.2,5.369069e-08,9.91e+37,8070.576,21508.0
9,-0.1,-7.75761e-08,9.91e+37,8070.629,21508.0
10,0.0,-4.710648e-08,9.91e+37,8070.689,21508.0
11,0.1,5.63229e-08,9.91e+37,8070.742,21508.0
12,0.2,-8.391205e-08,9.91e+37,8070.795,21508.0
13,0.3,7.412114e-08,9.91e+37,8070.848,21508.0
14,0.4,-1.138773e-07,9.91e+37,8070.9,21508.0
15,0.5,8.751766e-08,9.91e+37,8070.953,21508.0
16,0.6,-1.896633e-07,9.91e+37,8071.006,21508.0
17,0.7,1.320845e-07,9.91e+37,8071.059,21508.0
18,0.8,-1.762566e-07,9.91e+37,8071.11,21508.0
19,0.9,1.57353e-07,9.91e+37,8071.163,21508.0
20,1.0,6.43039e-08,9.91e+37,8071.22,21508.0
