,Ig_Vsd20.0,Ig_Vsd50.0,Ig_Vsd80.0,Isd_Vsd20.0,Isd_Vsd50.0,Isd_Vsd80.0
0,,,,7.046019e-13,3.073801e-14,6.671147e-15
1,,,,-8.118109e-13,1.510708e-13,4.519021e-13
2,,,,7.286685e-13,9.091678e-13,2.112368e-13
3,,,,-7.997715e-13,2.834358e-13,-3.544158e-13
4,,,,-8.118082e-13,5.120699e-13,-8.84026e-13
5,,,,1.870441e-14,-7.155161e-13,6.925687e-13
6,,,,-4.266353e-13,8.97132e-13,-2.942323e-13
7,,,,7.286691e-13,5.963002e-13,-8.118075e-13
8,,,,-5.470034e-13,-4.025623e-13,-5.951478e-13
9,,,,-8.840289e-13,-4.507086e-13,6.564658e-13
10,,,,5.12068e-13,3.315691e-13,8.008704e-13
11,,,,-3.06269e-13,-8.719923e-13,-6.914438e-13
12,,,,-7.275545e-13,2.714031e-13,-2.220121e-13
13,,,,-2.701585e-13,-9.081022e-13,5.963018e-13
14,,,,-3.905247e-13,-4.747816e-13,-7.516255e-13
15,,,,1.870467e-14,-9.081037e-13,2.593696e-13
16,,,,-9.081e-13,5.361345e-13,2.593696e-13
17,,,,7.045987e-13,8.850996e-13,9.573017e-13
18,,,,-2.22012e-13,-8.358836e-13,2.473366e-13
19,,,,-8.118116e-13,-8.599577e-13,9.572982e-13
20,,,,1.510702e-13,5.842674e-13,-8.960671e-13
21,,,,5.120674e-13,-8.479196e-13,-4.988569e-13
22,,,,7.888356e-13,-2.942846e-14,9.091645e-13
23,,,,1.751374e-13,8.971295e-13,-3.183055e-13
24,,,,-1.739517e-14,-5.5904e-13,-1.136817e-13
25,,,,-1.016453e-13,-8.960634e-13,-4.14617e-14
26,,,,-9.321757e-13,5.361319e-13,8.97132e-13
27,,,,2.112366e-13,8.369635e-13,6.685021e-13
28,,,,-8.599577e-13,-2.942317e-13,3.315685e-13
29,,,,-1.497919e-13,-1.004396e-12,-2.942319e-13
30,,,,8.850979e-13,-7.155155e-13,1.992034e-13
31,,,,-7.877368e-13,-6.553511e-14,-6.914433e-13
32,,,,-8.479182e-13,-1.979386e-13,9.211984e-13
33,,,,-9.562498e-13,-8.599577e-13,8.730639e-13
34,,,,4.639349e-13,-8.238469e-13,1.149706e-13
35,,,,6.671353e-15,3.075023e-13,-2.701585e-13
36,,,,9.211984e-13,-6.91441e-13,9.933971e-13
37,,,,-9.442115e-13,1.5107e-13,7.647669e-13
38,,,,-6.071834e-13,-1.377551e-13,-1.497918e-13
39,,,,-4.747816e-13,9.572991e-13,-8.840289e-13
40,,,,8.12903e-13,8.730679e-13,8.851003e-13
41,,,,-8.599541e-13,9.45265e-13,-8.719937e-13
42,,,,-5.710772e-13,-9.20142e-13,-8.238435e-13
43,,,,-4.988569e-13,-8.840289e-13,-8.358829e-13
44,,,,8.730679e-13,-8.47921e-13,-9.081015e-13
45,,,,-8.840311e-13,1.992036e-13,1.992029e-13
0,1.956371e-08,1.504577e-08,2.157171e-08,,,
1,1.90617e-08,1.604982e-08,1.705376e-08,,,
2,1.655172e-08,1.906169e-08,1.755578e-08,,,
