,Isd_Vsd20.0,Isd_Vsd50.0,Isd_Vsd80.0,Ig_Vsd20.0,Ig_Vsd50.0,Ig_Vsd80.0,Vg
0,-1.004423e-12,4.398823e-13,6.805605e-13,1.906189e-08,1.956388e-08,1.906196e-08,-10.0
1,-1.00444e-12,-4.025755e-13,1.041581e-12,1.906194e-08,2.056785e-08,2.408182e-08,-5.0
2,-8.840605e-13,-1.004423e-12,9.21243e-13,1.906194e-08,1.604995e-08,2.408181e-08,0.0
3,9.212346e-13,5.602287e-13,8.008902e-13,2.106989e-08,2.408181e-08,2.00659e-08,5.0
4,9.21243e-13,8.008976e-13,1.161909e-12,2.106989e-08,1.855989e-08,2.056785e-08,10.0
5,-1.61834e-13,-1.00444e-12,-6.433284e-13,2.458375e-08,2.056786e-08,1.454402e-08,15.0
6,7.887534e-14,-4.025755e-13,-1.618329e-13,1.906188e-08,2.207381e-08,1.805794e-08,20.0
7,6.805731e-13,-1.124794e-12,9.212346e-13,1.95639e-08,1.755591e-08,2.157187e-08,25.0
8,9.212346e-13,-1.004423e-12,5.602183e-13,1.906194e-08,2.207385e-08,1.956386e-08,30.0
9,-8.840531e-13,-4.025755e-13,-7.636955e-13,2.05679e-08,2.157186e-08,2.357984e-08,35.0
10,8.008902e-13,8.008902e-13,-7.636955e-13,1.755593e-08,2.157185e-08,2.006593e-08,40.0
11,-6.43318e-13,-4.14617e-14,1.992082e-13,1.855989e-08,2.257585e-08,1.906189e-08,45.0
12,8.008976e-13,-7.636955e-13,4.398864e-13,2.10699e-08,1.906189e-08,1.755595e-08,50.0
13,-5.229467e-13,-8.840678e-13,-6.43318e-13,1.504598e-08,2.709379e-08,1.504595e-08,55.0
14,5.602235e-13,7.887534e-14,1.992082e-13,1.855993e-08,2.056787e-08,1.253608e-08,60.0
15,1.041572e-12,-8.840605e-13,8.008902e-13,2.30779e-08,2.00659e-08,1.855989e-08,65.0
16,8.008976e-13,-8.840678e-13,-6.43318e-13,2.307783e-08,2.960376e-08,1.805795e-08,70.0
17,-7.636829e-13,8.008976e-13,-1.004432e-12,2.458381e-08,2.006594e-08,1.906189e-08,75.0
18,1.992124e-13,1.161909e-12,-6.43318e-13,1.95639e-08,1.805792e-08,2.056792e-08,80.0
19,-1.618329e-13,-4.14617e-14,-1.004415e-12,2.157184e-08,1.956389e-08,1.855992e-08,85.0
20,-2.822042e-13,-7.636955e-13,-2.822021e-13,1.855994e-08,2.006588e-08,1.755592e-08,90.0
21,-7.636955e-13,-5.229509e-13,1.041572e-12,2.056786e-08,2.00659e-08,2.056789e-08,95.0
22,-4.14617e-14,-8.840678e-13,-6.433232e-13,1.805787e-08,2.157188e-08,2.106985e-08,100.0
23,4.398864e-13,-8.840531e-13,1.992124e-13,2.608981e-08,1.604997e-08,2.006588e-08,100.0
24,1.041572e-12,-4.025692e-13,-1.618329e-13,2.006593e-08,2.207389e-08,2.408185e-08,95.0
25,9.212262e-13,6.805542e-13,5.602183e-13,2.809782e-08,2.056789e-08,1.906196e-08,90.0
26,-2.822e-13,6.805542e-13,6.805542e-13,2.006592e-08,1.705396e-08,2.157189e-08,85.0
27,6.805605e-13,-1.004432e-12,-1.00444e-12,2.65918e-08,2.157184e-08,1.554803e-08,80.0
28,9.212177e-13,-8.840531e-13,-6.433127e-13,1.90619e-08,2.257579e-08,2.056784e-08,75.0
29,7.887534e-14,9.212262e-13,-7.637018e-13,2.106987e-08,1.855993e-08,1.655198e-08,70.0
30,-4.14617e-14,-6.43318e-13,-1.004432e-12,1.303808e-08,2.157187e-08,2.00659e-08,65.0
31,-7.636955e-13,-5.229509e-13,-6.43318e-13,1.95639e-08,1.805785e-08,2.056791e-08,60.0
32,-8.840678e-13,9.21243e-13,-5.229509e-13,2.257587e-08,1.755593e-08,2.106988e-08,55.0
33,3.195463e-13,-1.618329e-13,-8.840531e-13,1.755593e-08,1.95639e-08,1.805787e-08,50.0
34,1.041572e-12,-2.822063e-13,-4.025755e-13,2.157189e-08,1.604995e-08,2.257584e-08,45.0
35,9.212262e-13,1.992103e-13,-1.004432e-12,2.106985e-08,1.755593e-08,2.00659e-08,40.0
36,-8.840605e-13,8.008976e-13,8.008902e-13,2.106989e-08,1.956389e-08,1.906194e-08,35.0
37,1.992124e-13,4.398907e-13,-4.14617e-14,2.207382e-08,1.805794e-08,2.056786e-08,30.0
38,-5.229425e-13,-7.636892e-13,3.195525e-13,2.207383e-08,1.80579e-08,1.404196e-08,25.0
39,-1.00444e-12,-1.00444e-12,-1.004432e-12,1.604997e-08,1.956389e-08,1.956392e-08,20.0
40,-1.004432e-12,9.21243e-13,-5.229425e-13,1.655196e-08,1.705398e-08,1.956389e-08,15.0
41,-1.004423e-12,6.80548e-13,-6.43318e-13,2.207384e-08,2.106984e-08,1.906188e-08,10.0
42,5.602183e-13,1.041572e-12,-2.822e-13,2.106981e-08,2.15719e-08,1.906189e-08,5.0
43,-4.14617e-14,9.21243e-13,1.161909e-12,1.80579e-08,2.257584e-08,1.956388e-08,0.0
44,-7.636955e-13,-5.229425e-13,6.80548e-13,1.906188e-08,2.558778e-08,2.307782e-08,-5.0
45,-2.822042e-13,-4.14617e-14,3.195463e-13,1.855994e-08,1.604995e-08,1.805788e-08,-10.0
